DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN	UMLS CUI
Epicrisis24	biolink:ChemicalSubstance	15	16	G	guanine	CHEBI:16235_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	15	16	G	glycine	CHEBI:15428_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	217	222	blood	blood	UBERON:0000178		S5	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	234	239	mouth	oral opening	UBERON:0000166_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	234	239	mouth	mouth	UBERON:0000165		S5	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	244	248	nose	nose	UBERON:0000004		S5	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	244	248	nose	external nose	UBERON:0007827_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis24	biolink:BiologicalProcess	272	279	breathe	respiratory gaseous exchange by respiratory system	GO:0007585_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	344	349	Acute	Acute	HP:0011009		S6	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	344	349	Acute	acute	PATO:0000389		S6	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	415	421	sepsis	Sepsis	HP:0100806		S7	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	427	435	positive	Position	HP:0012830		S8	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	427	435	positive	position	PATO:0000140		S8	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	465	467	Co	cobalt atom	CHEBI:27638_SYNONYM		S9	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	500	506	Bloods	blood	UBERON:0000178		S9	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	611	616	blood	blood	UBERON:0000178		S10	hp-full.json	CUI-less
