DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN	UMLS CUI	SENTENCE
Epicrisis24	biolink:PhenotypicFeature	344	349	Acute	Acute	HP:0011009		S6	hp-full.json	CUI-less	| Primary Diagnosis:  Acute idiopathic pulmonmary Haemorrhage.
Epicrisis24	biolink:PhenotypicFeature	415	421	sepsis	Sepsis	HP:0100806		S7	hp-full.json	CUI-less	Secondary Diagnoses:  Likely sepsis.
Epicrisis24	biolink:PhenotypicFeature	427	435	positive	Position	HP:0012830		S8	hp-full.json	CUI-less	NPA positive for Rhinovirus/Enterovirus.
Epicrisis24	biolink:PhenotypicFeature	736	756	respiratory distress	Respiratory distress	HP:0002098		S11	hp-full.json	CUI-less	On arrival to CED in Derby he was cyanotic and in significant  respiratory distress.
Epicrisis24	biolink:PhenotypicFeature	1055	1064	frequency	Frequency	HP:0040279		S15	hp-full.json	CUI-less	>< remained intubated and ventilated for 5 days and required high  frequency oscillation initially.
Epicrisis24	biolink:PhenotypicFeature	1172	1178	sepsis	Sepsis	HP:0100806		S16	hp-full.json	CUI-less	He required inotropic support and was  treated with triple antibiotics for possible sepsis.
Epicrisis24	biolink:PhenotypicFeature	1212	1220	positive	Position	HP:0012830		S18	hp-full.json	CUI-less	NPA was positive for Rhinovirus/enterovirus and all other  microbiology was negative.
Epicrisis24	biolink:PhenotypicFeature	1786	1794	Progress	Progressive	HP:0003676		S25	hp-full.json	CUI-less	$$COPY_FORS$  | Other Comments, Progress  | in Hospital & Specialist  Team Opinions:  Allergies, Risks & Warnings:  _{known / recorded at NUH)     | We have discussed with Mum that the exact cause for  ><  pulmonary Haemorrhage is not certain but it may be related to sepsis.
Epicrisis24	biolink:PhenotypicFeature	1840	1849	Allergies	Allergy	HP:0012393		S25	hp-full.json	CUI-less	$$COPY_FORS$  | Other Comments, Progress  | in Hospital & Specialist  Team Opinions:  Allergies, Risks & Warnings:  _{known / recorded at NUH)     | We have discussed with Mum that the exact cause for  ><  pulmonary Haemorrhage is not certain but it may be related to sepsis.
Epicrisis24	biolink:PhenotypicFeature	2022	2028	sepsis	Sepsis	HP:0100806		S26	hp-full.json	CUI-less	$$COPY_FORS$  | Other Comments, Progress  | in Hospital & Specialist  Team Opinions:  Allergies, Risks & Warnings:  _{known / recorded at NUH)     | We have discussed with Mum that the exact cause for  ><  pulmonary Haemorrhage is not certain but it may be related to sepsis.
Epicrisis18	biolink:PhenotypicFeature	265	272	Chronic	Chronic	HP:0011010		S1	hp-full.json	CUI-less	DE-M-0022-EpicrisisDiagnosis:12-2014: Age 7,6 yIdiopathic pulmonary hemosiderosis S/p 1. relapse 12/2010Suspected bronchial hyperresponsivenessRecurrent obstruktive bronchitisS/p CMV infectionS/p tonsillectomie and tympanic tube 05/2009S/p MRSA detection, last 2011Chronic recurrent juvenile parotitis on both sides 9/2012History:Age 2,11 y first time hemoptysis and decrease of haemoglobin.
Epicrisis18	biolink:PhenotypicFeature	273	282	recurrent	Recurrent	HP:0031796		S1	hp-full.json	CUI-less	DE-M-0022-EpicrisisDiagnosis:12-2014: Age 7,6 yIdiopathic pulmonary hemosiderosis S/p 1. relapse 12/2010Suspected bronchial hyperresponsivenessRecurrent obstruktive bronchitisS/p CMV infectionS/p tonsillectomie and tympanic tube 05/2009S/p MRSA detection, last 2011Chronic recurrent juvenile parotitis on both sides 9/2012History:Age 2,11 y first time hemoptysis and decrease of haemoglobin.
Epicrisis18	biolink:PhenotypicFeature	292	301	parotitis	Parotitis	HP:0011850		S1	hp-full.json	CUI-less	DE-M-0022-EpicrisisDiagnosis:12-2014: Age 7,6 yIdiopathic pulmonary hemosiderosis S/p 1. relapse 12/2010Suspected bronchial hyperresponsivenessRecurrent obstruktive bronchitisS/p CMV infectionS/p tonsillectomie and tympanic tube 05/2009S/p MRSA detection, last 2011Chronic recurrent juvenile parotitis on both sides 9/2012History:Age 2,11 y first time hemoptysis and decrease of haemoglobin.
Epicrisis18	biolink:PhenotypicFeature	352	362	hemoptysis	Hemoptysis	HP:0002105		S1	hp-full.json	CUI-less	DE-M-0022-EpicrisisDiagnosis:12-2014: Age 7,6 yIdiopathic pulmonary hemosiderosis S/p 1. relapse 12/2010Suspected bronchial hyperresponsivenessRecurrent obstruktive bronchitisS/p CMV infectionS/p tonsillectomie and tympanic tube 05/2009S/p MRSA detection, last 2011Chronic recurrent juvenile parotitis on both sides 9/2012History:Age 2,11 y first time hemoptysis and decrease of haemoglobin.
Epicrisis18	biolink:PhenotypicFeature	400	410	pharyngeal	Pharyngitis	HP:0025439		S2	hp-full.json	CUI-less	Positiv pharyngeal secretion for adenovirus and CMV.
Epicrisis18	biolink:PhenotypicFeature	531	538	diffuse	Diffuse	HP:0020034		S3	hp-full.json	CUI-less	Bronchoscopy with small inflammatory mucosal nodules and bloody lavage fluid, so that diffuse alveolar hemorrhage was diagnosed.
Epicrisis18	biolink:PhenotypicFeature	531	558	diffuse alveolar hemorrhage	Diffuse alveolar hemorrhage	HP:0025420		S3	hp-full.json	CUI-less	Bronchoscopy with small inflammatory mucosal nodules and bloody lavage fluid, so that diffuse alveolar hemorrhage was diagnosed.
Epicrisis18	biolink:PhenotypicFeature	772	781	recurrent	Recurrent	HP:0031796		S4	hp-full.json	CUI-less	CT Scan (thorax): extensive bleeding on both sides.5/2010 diagnosis of idiopathic pulmonary hemosiderosis Systemic steroids were started in 5/2010, the tapering of steroids was difficult because of recurrent hemoptysis1/2011 Hydroxychloroquine was started10/2011 termination of steroids5/2012 termination of hydroxychloroquine9/2012 parotitis on both sidesSince 5/2012 stable without any medication
Epicrisis18	biolink:PhenotypicFeature	782	792	hemoptysis	Hemoptysis	HP:0002105		S4	hp-full.json	CUI-less	CT Scan (thorax): extensive bleeding on both sides.5/2010 diagnosis of idiopathic pulmonary hemosiderosis Systemic steroids were started in 5/2010, the tapering of steroids was difficult because of recurrent hemoptysis1/2011 Hydroxychloroquine was started10/2011 termination of steroids5/2012 termination of hydroxychloroquine9/2012 parotitis on both sidesSince 5/2012 stable without any medication
Epicrisis18	biolink:PhenotypicFeature	907	916	parotitis	Parotitis	HP:0011850		S4	hp-full.json	CUI-less	CT Scan (thorax): extensive bleeding on both sides.5/2010 diagnosis of idiopathic pulmonary hemosiderosis Systemic steroids were started in 5/2010, the tapering of steroids was difficult because of recurrent hemoptysis1/2011 Hydroxychloroquine was started10/2011 termination of steroids5/2012 termination of hydroxychloroquine9/2012 parotitis on both sidesSince 5/2012 stable without any medication
Epicrisis18	biolink:PhenotypicFeature	943	949	stable	Stable	HP:0031915		S4	hp-full.json	CUI-less	CT Scan (thorax): extensive bleeding on both sides.5/2010 diagnosis of idiopathic pulmonary hemosiderosis Systemic steroids were started in 5/2010, the tapering of steroids was difficult because of recurrent hemoptysis1/2011 Hydroxychloroquine was started10/2011 termination of steroids5/2012 termination of hydroxychloroquine9/2012 parotitis on both sidesSince 5/2012 stable without any medication
Epicrisis19	biolink:PhenotypicFeature	24	38	Family history	Family history	HP:0032316		S1	hp-full.json	CUI-less	"DE-M-0026 (*23.01.2001) Family history:Ethnicity, consanguineous?Family history: paternal aunt with multiple sclerosis, paternal grandfather Morbus BechterewPregnancy and birth:female, mature baby, born by emergency cesarean sectio in 38 weeks of gestational agepostnatal need of oxygen, parents are not sure about intubationClinical course:start of pulmonary symptoms with 13 years of life, all of a suddenhemoptysis (bright red blood) during the night, in the evenings and mornings; little, productive cough, no dyspnea on extertiontreatment: 	no treatment, no more bleedingsother relevant diagnoses?"
Epicrisis19	biolink:PhenotypicFeature	65	79	Family history	Family history	HP:0032316		S1	hp-full.json	CUI-less	"DE-M-0026 (*23.01.2001) Family history:Ethnicity, consanguineous?Family history: paternal aunt with multiple sclerosis, paternal grandfather Morbus BechterewPregnancy and birth:female, mature baby, born by emergency cesarean sectio in 38 weeks of gestational agepostnatal need of oxygen, parents are not sure about intubationClinical course:start of pulmonary symptoms with 13 years of life, all of a suddenhemoptysis (bright red blood) during the night, in the evenings and mornings; little, productive cough, no dyspnea on extertiontreatment: 	no treatment, no more bleedingsother relevant diagnoses?"
Epicrisis19	biolink:PhenotypicFeature	493	509	productive cough	Productive cough	HP:0031245		S1	hp-full.json	CUI-less	"DE-M-0026 (*23.01.2001) Family history:Ethnicity, consanguineous?Family history: paternal aunt with multiple sclerosis, paternal grandfather Morbus BechterewPregnancy and birth:female, mature baby, born by emergency cesarean sectio in 38 weeks of gestational agepostnatal need of oxygen, parents are not sure about intubationClinical course:start of pulmonary symptoms with 13 years of life, all of a suddenhemoptysis (bright red blood) during the night, in the evenings and mornings; little, productive cough, no dyspnea on extertiontreatment: 	no treatment, no more bleedingsother relevant diagnoses?"
Epicrisis19	biolink:PhenotypicFeature	504	509	cough	Cough	HP:0012735		S1	hp-full.json	CUI-less	"DE-M-0026 (*23.01.2001) Family history:Ethnicity, consanguineous?Family history: paternal aunt with multiple sclerosis, paternal grandfather Morbus BechterewPregnancy and birth:female, mature baby, born by emergency cesarean sectio in 38 weeks of gestational agepostnatal need of oxygen, parents are not sure about intubationClinical course:start of pulmonary symptoms with 13 years of life, all of a suddenhemoptysis (bright red blood) during the night, in the evenings and mornings; little, productive cough, no dyspnea on extertiontreatment: 	no treatment, no more bleedingsother relevant diagnoses?"
Epicrisis19	biolink:PhenotypicFeature	514	521	dyspnea	Dyspnea	HP:0002094		S1	hp-full.json	CUI-less	"DE-M-0026 (*23.01.2001) Family history:Ethnicity, consanguineous?Family history: paternal aunt with multiple sclerosis, paternal grandfather Morbus BechterewPregnancy and birth:female, mature baby, born by emergency cesarean sectio in 38 weeks of gestational agepostnatal need of oxygen, parents are not sure about intubationClinical course:start of pulmonary symptoms with 13 years of life, all of a suddenhemoptysis (bright red blood) during the night, in the evenings and mornings; little, productive cough, no dyspnea on extertiontreatment: 	no treatment, no more bleedingsother relevant diagnoses?"
